articleId,chunkId,chunk
0,0,New York Schools To Stay Closed For Rest Of Academic Year
0,1,"Schools in America's coronavirus epicenter of New York state will stay closed for the rest of the academic year, Governor Andrew Cuomo announced Friday."
0,2,The decision comes as the state remains cautious about reopening over fears that getting people back to work too soon could spark a surge of infections.
0,3,"""We don't think it's possible to (open schools)... in a way that would keep our children and students and educators safe,"" Cuomo told reporters."
0,4,"The confirmation came after Mayor Bill de Blasio said on April 11 that pupils would not return to New York City's 1,700 public schools this academic year."
0,5,"The Big Apple is the United States' largest public school district, with 1.1 million students."
0,6,"The city closed its public schools on March 15 as the deadly virus spread rapidly, pushing classes online and leaving families scrambling to arrange homeschooling."
0,7,Schools would normally end their final term in June. Cuomo said it was too early to rule on whether children could return for the next academic year in September.
0,8,"He announced that 289 New Yorkers had died from COVID-19 in the last 24 hours, pushing the state's confirmed death toll near 19,000, as infections continue to decline."
0,9,More than 700 people were dying a day at the peak of the state's outbreak in early-to-mid April.
0,10,Cuomo said the number of hospitalizations was dropping every day and are currently in the 900s.
0,11,"""That's still too high a number,"" he said."
0,12,"Several US states are starting to ease lockdown measures, including Texas on Friday, but New York's shutdown is due to run until at least May 15."
0,13,Cuomo said he would announce a few days before that date whether he would prolong it.
0,14,pdh/st
1,15,"Australian drunk driver hits a group of pedestrians, kills 4 children"
1,16,"A drunk driver slammed his pickup truck into a group of children in Sydney, killing two sisters, their brother and a cousin and seriously injuring three others, police alleged on Sunday."
1,17,The 29-year-old driver was charged with manslaughter and high-range drunk driving following the incident late Saturday in the Oatlands suburb.
1,18,"The children were on a footpath when the four-wheel drive jumped the curb and rammed into them, police alleged."
1,19,"Three girls aged 8 to 12 and a 13-year-old boy died at the scene and two other girls and a boy were injured and taken to hospital, where they were in a stable condition Sunday, police said.  "
1,20,"The dead included two sisters and their brother, three of the six children of Daniel and Leila Abdallah."
1,21,"""Yesterday I lost three of my children. I had a cousin, Bridget, she lost her daughter as well,"" Daniel Abdallah told reporters Sunday morning."
1,22,"""I'm numb, probably that's how I feel at the moment,"" he said."
