articleId,chunkId1,genericClaim1,specificClaim1,hybridClaim1,chunkId2,genericClaim2,specificClaim2,hybridClaim2
0,5,1270,1310,1350,6,1271,1311,1351
1,18,1272,1312,1352,17,1273,1313,1353
2,32,1274,1314,1354,28,1275,1315,1355
3,40,1276,1316,1356,41,1277,1317,1357
4,54,1278,1318,1358,55,1279,1319,1359
5,62,1280,1320,1360,67,1281,1321,1361
6,89,1282,1322,1362,85,1283,1323,1363
7,98,1284,1324,1364,98,1285,1325,1365
8,115,1286,1326,1366,124,1287,1327,1367
9,140,1288,1328,1368,133,1289,1329,1369
10,170,1290,1330,1370,167,1291,1331,1371
11,183,1292,1332,1372,176,1293,1333,1373
12,213,1294,1334,1374,192,1295,1335,1375
13,215,1296,1336,1376,217,1297,1337,1377
14,230,1298,1338,1378,230,1299,1339,1379
15,241,1300,1340,1380,241,1301,1341,1381
16,247,1302,1342,1382,247,1303,1343,1383
17,267,1304,1344,1384,256,1305,1345,1385
18,283,1306,1346,1386,290,1307,1347,1387
19,315,1308,1348,1388,299,1309,1349,1389
